catchment_id,area_index,cases_local_ib,cases_p_value,cases_quadrant,cases_cluster_005,cases_cluster_010,cases_hotspot_005,cases_hotspot_010,deaths_local_ib,deaths_p_value,deaths_quadrant,deaths_cluster_005,deaths_cluster_010,deaths_hotspot_005,deaths_hotspot_010
HF1726,138,-0.19673310958439985,0.341,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.15794445041392072,0.105,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1734,139,-0.35625468526291326,0.088,Low-High,Not significant,Low-High,Not hotspot,Not hotspot,-0.19572412800036607,0.088,Low-High,Not significant,Low-High,Not hotspot,Not hotspot
HF1747,140,0.29781875817858383,0.101,High-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.00782067619950765,0.31,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1751,141,-0.5891099981353457,0.046,Low-High,Low-High,Low-High,Not hotspot,Not hotspot,-0.22831835964357378,0.09,Low-High,Not significant,Low-High,Not hotspot,Not hotspot
HF1752,142,-0.9667813685876163,0.479,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.3805032943793575,0.349,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1754,143,-0.3425918294232069,0.036,Low-High,Low-High,Low-High,Not hotspot,Not hotspot,0.006343990842091757,0.052,High-High,Not significant,High-High,Not hotspot,Hotspot
HF1769,144,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1785,145,-1.061308232815729,0.334,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.8954214859813072,0.451,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1805,146,0.06187397909409697,0.931,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.1023861010220893,0.738,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1831,147,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1856,148,0.2047941561565181,0.743,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.82,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1868,149,-3.0178815437022224,0.011,Low-High,Low-High,Low-High,Not hotspot,Not hotspot,-1.0135430310481242,0.012,Low-High,Low-High,Low-High,Not hotspot,Not hotspot
HF1882,150,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1903,151,0.06187397909409697,0.896,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.1023861010220893,0.711,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1927,152,-0.9085017352900857,0.037,Low-High,Low-High,Low-High,Not hotspot,Not hotspot,-0.19127946004901952,0.134,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1934,153,-0.01986027116898359,0.716,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.03546812259142598,0.838,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1965,154,0.08344647207620727,0.965,High-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.11025880436687344,0.993,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF1970,155,-0.04311141986541581,0.145,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,0.19591910064975598,0.078,High-High,Not significant,High-High,Not hotspot,Hotspot
HF1994,156,-0.24880311311781242,0.162,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.12460944077882186,0.404,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF1999,157,0.16122093144236532,0.855,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.81,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2009,158,0.04177940047028581,0.712,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.31287243336235543,0.823,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2019,159,-0.17167850537376197,0.668,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.1023861010220893,0.709,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2027,160,-0.8453205594545641,0.043,Low-High,Low-High,Low-High,Not hotspot,Not hotspot,-0.1023861010220893,0.718,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2028,161,-0.34994249899389857,0.009,Low-High,Low-High,Low-High,Not hotspot,Not hotspot,-1.3851098330058786,0.011,Low-High,Low-High,Low-High,Not hotspot,Not hotspot
HF2029,162,-0.9491180232542296,0.829,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-1.8996250909720722,0.811,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2057,163,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2067,164,-1.4030870876026327,0.746,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.5902767441332849,0.823,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2099,165,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2108,166,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2124,167,-1.22740044641053,0.735,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.10878211900945735,0.816,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2140,168,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2145,169,0.026976257520982736,0.543,High-High,Not significant,Not significant,Not hotspot,Not hotspot,0.0069948836383140625,0.902,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2152,170,0.2047941561565181,0.741,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.819,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2167,171,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2186,172,0.2047941561565181,0.758,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.843,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2190,173,0.2047941561565181,0.76,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.834,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2205,174,-1.2863572089897424,0.004,Low-High,Low-High,Low-High,Not hotspot,Not hotspot,-0.25388914806659246,0.078,Low-High,Not significant,Low-High,Not hotspot,Not hotspot
HF2206,175,-1.0088104214342661,0.477,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.3849975541627971,0.582,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2211,176,0.2047941561565181,0.742,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.828,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2222,177,-0.4733327453433443,0.458,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.06320855366851892,0.614,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2228,178,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2249,179,0.06187397909409697,0.917,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.1023861010220893,0.719,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2278,180,-0.019643707380150442,0.816,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,0.08618684051202632,0.729,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2280,181,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2292,182,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2305,183,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2329,184,0.1677408916520593,0.971,High-High,Not significant,Not significant,Not hotspot,Not hotspot,1.5646123398933183,0.085,High-High,Not significant,High-High,Not hotspot,Hotspot
HF2330,185,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2353,186,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2375,187,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2376,188,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2400,189,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2410,190,0.2047941561565181,0.768,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.835,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2428,191,-0.343357010747524,0.139,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.03571608175189161,0.973,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2445,192,-0.0919239528188538,0.687,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.0805811923486425,0.573,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2448,193,-0.422369791562521,0.085,Low-High,Not significant,Low-High,Not hotspot,Not hotspot,-0.1986872399679304,0.101,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2457,194,0.029156568311912084,0.147,High-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.08983316852351651,0.15,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2475,195,0.2047941561565181,0.489,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.595,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2481,196,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2490,197,-1.0145127699119079,0.484,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.129785588253542,0.586,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2494,198,-0.9411816538257003,0.042,Low-High,Low-High,Low-High,Not hotspot,Not hotspot,-0.21350279980575212,0.129,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2501,199,-0.3681937488345911,0.106,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.03571608175189161,0.896,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2508,200,0.18437698800474367,0.262,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.0849249054989423,0.47,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2512,201,0.1326854822288413,0.531,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.07304500500734766,0.661,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2513,202,0.08342740326369708,0.476,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.04425074749827576,0.617,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2521,203,0.2047941561565181,0.25,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.328,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2522,204,0.015439981311655273,0.482,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.03665699820901568,0.584,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2528,205,0.20370482553866429,0.282,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1309589664236026,0.346,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2565,206,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2566,207,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot,0,1,High-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2570,208,0.2047941561565181,0.74,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.82,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2578,209,0.2047941561565181,0.738,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.815,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2586,210,-0.13246260313102448,0.881,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.8357563129942637,0.032,Low-High,Low-High,Low-High,Not hotspot,Not hotspot
HF2594,211,-0.18495683661689458,0.749,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.4182860714553086,0.83,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2601,212,-0.24198032139331122,0.49,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.11433020522487594,0.577,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2622,213,0.20435842390937659,0.51,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.588,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2652,214,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2673,215,0.11677624223392948,0.916,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.03571608175189161,0.97,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2677,216,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2695,217,0.19666048754320958,0.45,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.14207063630196887,0.465,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2705,218,0.09002307886049227,0.487,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.04775317063985286,0.603,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2708,219,0.2047941561565181,0.484,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.585,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2734,220,0.18170034705801713,0.607,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.11984729654523632,0.644,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2749,221,0.1923031650717943,0.463,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.12725507646414716,0.507,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2753,222,0.1590422702066577,0.514,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.024604411873525328,0.863,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2761,223,-0.3315922400747027,0.103,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.36906617810288,0.053,Low-High,Not significant,Low-High,Not hotspot,Not hotspot
HF2778,224,0.1590422702066577,0.499,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.024604411873525328,0.853,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2791,225,-0.11053292756634818,0.48,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.007490801959245332,0.732,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2801,226,0.06147392799881689,0.965,High-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.008787716925323626,0.671,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2806,227,-0.401615497457831,0.748,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.3380823526500535,0.889,High-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2819,228,0.2047941561565181,0.741,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.838,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2830,229,0.1747286311037527,0.441,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.08651228691013749,0.629,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2836,230,-0.3692422572594093,0.758,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.06994551550152722,0.827,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2837,231,0.03933553683701081,0.747,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.11433020522487594,0.828,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2843,232,0.1548301918176229,0.59,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.05317727727503864,0.794,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2874,233,-0.00929355353940684,0.982,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.08658977414778295,0.088,High-High,Not significant,High-High,Not hotspot,Hotspot
HF2879,234,0.2047941561565181,0.501,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.597,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2886,235,0.17574533968041625,0.521,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.11243951662632547,0.521,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2891,236,-0.2259802776821458,0.683,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.2912379966117287,0.741,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2900,237,0.2047941561565181,0.494,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.601,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2916,238,0.036165776512746814,0.969,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.3468428383461474,0.089,Low-High,Not significant,Low-High,Not hotspot,Not hotspot
HF2927,239,-0.23404227677783315,0.448,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.2381995321881294,0.591,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2931,240,0.0923752363940039,0.767,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.18387168013010868,0.107,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2932,241,0.2047941561565181,0.205,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.14207063630196892,0.255,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2937,242,0.0923752363940039,0.761,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.18387168013010868,0.094,Low-High,Not significant,Low-High,Not hotspot,Not hotspot
HF2983,243,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0,1,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF2984,244,0.05737220579409786,0.641,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.10323403279403875,0.582,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF2991,245,0.2013082981793859,0.774,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.831,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3019,246,-0.8050646051934506,0.725,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.129785588253542,0.821,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3033,247,-0.10501147156110824,0.852,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.12460944077882184,0.66,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF3034,248,-0.0330752374822484,0.481,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.04220508442443427,0.587,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3036,249,-0.10501147156110824,0.844,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.12460944077882184,0.642,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF3047,250,0.20479415615651808,0.354,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.14207063630196887,0.43,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3083,251,-0.058388121116964745,0.915,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.5024062166432753,0.044,Low-High,Low-High,Low-High,Not hotspot,Not hotspot
HF3085,252,-0.1373437269036132,0.969,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.845096846012161,0.072,High-High,Not significant,High-High,Not hotspot,Hotspot
HF3103,253,-0.08322485920403185,0.874,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,0.008730597761573524,0.996,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3109,254,-0.19355561606730662,0.457,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.04101620880684457,0.585,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3118,255,-0.40000220287592264,0.115,Low-High,Not significant,Not significant,Not hotspot,Not hotspot,-0.4135128576163451,0.069,Low-High,Not significant,Low-High,Not hotspot,Not hotspot
HF3137,256,0.1754548515156552,0.524,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.08280839695068204,0.697,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3141,257,0.04209377245225009,0.703,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.035809066437066224,0.614,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3145,258,0.2013082981793859,0.497,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.579,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3146,259,0.04648855037334709,0.819,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.0831338433487932,0.615,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3149,260,0.116738720641554,0.489,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.03281363122179833,0.418,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3153,261,0.04640548432057272,0.861,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.08651228691013749,0.604,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3171,262,-0.05976730380632553,0.693,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.028184322252747942,0.626,High-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3186,263,0.1191001475520176,0.685,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.09762395678850376,0.587,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3188,264,0.1191001475520176,0.68,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.09762395678850376,0.584,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3207,265,0.19978323531439054,0.309,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.11984729654523635,0.392,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3214,266,0.048802011679851126,0.962,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,-0.21350279980575212,0.142,Low-High,Not significant,Not significant,Not hotspot,Not hotspot
HF3222,267,-1.22740044641053,0.732,High-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.04220508442443427,0.823,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3226,268,0.06732063218336606,0.757,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.008730597761573524,0.961,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3236,269,0.11699942075066491,0.194,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.11888645479843198,0.233,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3241,270,0.20159878634414688,0.393,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.14207063630196887,0.451,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3255,271,0.16122093144236532,0.676,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.05317727727503864,0.877,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3264,272,0.2047941561565181,0.5,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.612,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3271,273,0.20357410586452185,0.235,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.13318130039927586,0.306,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3291,274,0.20087256593224437,0.553,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.601,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3308,275,0.14372405193135596,0.21,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.10323403279403877,0.276,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3330,276,0.20363220349747402,0.341,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.14207063630196887,0.447,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3331,277,0.12984900473608482,0.723,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.811,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3339,278,0.20417168151774448,0.154,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.13572111065718814,0.199,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3353,279,0.012525758068900668,0.176,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.03665699820901567,0.2,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
HF3362,280,0.2047941561565181,0.486,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot,0.1420706363019689,0.599,Low-Low,Not significant,Not significant,Not hotspot,Not hotspot
