priority_rank,catchment_id,catchment_population,malaria_cases,scd_cases,malaria_deaths,scd_deaths,cases_cluster_005,cases_cluster_010,shared_mean_step4,exceed_prob_step4,shared_mean_step5,shared_sd_step5,exceed_prob_step5,hotspot080_step4,hotspot090_step4,hotspot080_step5,hotspot090_step5,robust005_step4,robust010_step4,robust005_step5,robust010_step5,stability_score,stability_class,prioritisation_score,final_typology_005,final_typology_010,rr_malaria_step4,rr_scd_step4,rr_malaria_step5,rr_scd_step5
1,HF2029,28907,14835,4585,368,74,Not significant,Not significant,8.338194019567807,1,7.165915778515545,1.5910885688757104,0.9999966622629947,1,1,1,1,0,0,0,0,4,Moderately stable,0.8263274010568535,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.0021739562099815503,0.06227842346541849,0.002173897535050138,0.062282582522133964
2,HF2206,20149,13408,3698,95,26,Not significant,Not significant,8.488476320636849,1,7.388336983844775,1.568646864659966,0.9999987614557564,1,1,1,1,0,0,0,0,4,Moderately stable,0.7814225932668237,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.004044156641261904,0.10338666180475967,0.004044045363146825,0.10339489259163309
3,HF2067,42088,17764,2371,132,11,Not significant,Not significant,7.328746023264651,1,6.152704192686721,1.567877310338201,0.9999564954049402,1,1,1,1,0,0,0,0,4,Moderately stable,0.777922823187798,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.0012279551021554904,0.015193626648435413,0.0012279363328987804,0.015193929148724375
4,HF1752,8639,16907,2472,104,25,Not significant,Not significant,8.959156288187401,1,7.5973755005662325,1.5061049504699477,0.9999997725106138,1,1,1,1,0,0,0,0,4,Moderately stable,0.7550322303744241,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.02773955551118738,0.3759707362279668,0.027739029533968312,0.37597677906385873
5,HF1375,16880,22896,957,111,1,Not significant,Not significant,7.3833286823031505,1,7.308026094592312,1.6089992084441056,0.9999972134510006,1,1,1,1,0,0,0,0,4,Moderately stable,0.7502673434764816,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.009839261562342893,0.03814532916055609,0.009839299392582556,0.03814329809666513
6,HF1125,37541,22309,679,100,11,Not significant,Not significant,6.243508277837911,1,5.436510276721391,1.5096113224573293,0.9998416636482483,1,1,1,1,0,0,0,0,4,Moderately stable,0.7427955272229696,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.0019382702537214579,0.005473968662966699,0.0019382715837859706,0.005471417293536595
7,HF1408,14010,4879,4387,46,21,Not significant,Not significant,8.982398133354122,1,7.326053067107388,1.5298601297996868,0.9999991607063753,1,1,1,1,0,0,0,0,4,Moderately stable,0.7418999778746715,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.003044450063656597,0.2536651640124926,0.0030440421667821986,0.25369503929278053
8,HF0494,29288,9391,2603,207,32,Not significant,Not significant,7.760042042440976,1,6.972955260936298,1.5317085746387864,0.9999973481737132,1,1,1,1,0,0,0,0,4,Moderately stable,0.7247571459995431,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.0013406505733447505,0.03444284848168125,0.0013406052690662813,0.034447713269413364
9,HF2566,18722,14128,1777,679,53,Not significant,Not significant,7.856403489660323,1,7.490893501689143,1.5967972431419701,0.9999986419563034,1,1,1,1,0,0,0,0,4,Moderately stable,0.7227155081030275,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.004935578023441586,0.057549717928274395,0.004935534864564653,0.057557141268953727
10,HF1831,8783,16436,1408,293,17,Not significant,Not significant,8.398144940379444,1,8.188799753017545,1.602772955641762,0.9999998381902071,1,1,1,1,0,0,0,0,4,Moderately stable,0.7216196993506231,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.026089530108286997,0.20721563588518435,0.02608946969821077,0.20723795147460258
11,HF1166,82312,11399,1041,216,5,Not significant,Not significant,5.841300663486908,1,4.801438158913242,1.5019549570856283,0.9993051754397111,1,1,1,1,0,0,0,0,4,Moderately stable,0.7200888747283235,Bayesian-only shared hotspot,Bayesian-only shared hotspot,2.060169308511727e-4,0.0017445253374169982,2.060134818574964e-4,0.001744459133696011
12,HF2124,29361,15823,629,6,4,Not significant,Not significant,6.40460043385512,1,6.464767807427959,1.5709527154694418,0.9999806569107538,1,1,1,1,0,0,0,0,4,Moderately stable,0.6986416553411431,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.002247484942158417,0.008289596821358885,0.002247502994510466,0.008289204111400777
13,HF2305,2347,19599,197,46,5,Not significant,Not significant,7.83227617221122,1,8.41515836374616,1.6095826181029476,0.9999999143981736,1,1,1,1,0,0,0,0,4,Moderately stable,0.6983810973981603,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.4356586659613945,0.4079782594846083,0.4356681542231708,0.40733093009259
14,HF2490,17047,13471,1315,49,8,Not significant,Not significant,7.6570973178143245,1,7.0142582387381,1.5601975979176708,0.9999965337412622,1,1,1,1,0,0,0,0,4,Moderately stable,0.6982288069546845,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.005676283274639275,0.05137273104480556,0.005676227095951415,0.05137609707550174
15,HF2222,47543,7492,1818,37,3,Not significant,Not significant,6.916701088005859,1,5.890097864550432,1.555614350108412,0.9999235613458372,1,1,1,1,0,0,0,0,4,Moderately stable,0.6956843720874184,Bayesian-only shared hotspot,Bayesian-only shared hotspot,4.05896766941456e-4,0.009129241096851537,4.058785099087522e-4,0.00913056705216527
16,HF0304,45037,11399,1041,216,17,Not significant,Not significant,6.448369542460671,1,5.840457136305266,1.4795889182490138,0.9999604897051464,1,1,1,1,0,0,0,0,4,Moderately stable,0.6931699732862121,Bayesian-only shared hotspot,Bayesian-only shared hotspot,6.881614652490825e-4,0.005827215747739982,6.881545322300561e-4,0.0058275674651447045
17,HF3222,11456,15823,629,18,12,Not significant,Not significant,7.35046931404663,1,7.596654448157485,1.5910372843105771,0.9999990999229582,1,1,1,1,0,0,0,0,4,Moderately stable,0.6902595296754325,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.014762927669483804,0.05444901059063632,0.01476307469125101,0.0544513610988974
18,HF3085,84598,10855,217,88,7,Not significant,Not significant,4.2950082956602,0.9999999999999973,4.390881147360072,1.557775554729622,0.9975889716164473,1,1,1,1,0,0,0,0,4,Moderately stable,0.6880819417560805,Bayesian-only shared hotspot,Bayesian-only shared hotspot,1.857178682436183e-4,3.4548376607852836e-4,1.85722080861657e-4,3.4512836354616495e-4
19,HF3019,45503,11157,727,49,19,Not significant,Not significant,6.090891214481449,1,6.048352834416236,1.547025034452012,0.9999537882926807,1,1,1,1,0,0,0,0,4,Moderately stable,0.683272826766242,Bayesian-only shared hotspot,Bayesian-only shared hotspot,6.598209873955283e-4,0.003987824475956151,6.598230249577945e-4,0.003988331750189883
20,HF2330,22447,11399,1041,216,2,Not significant,Not significant,7.1485555096726605,1,6.888322265216722,1.5922491924850062,0.9999924133845135,1,1,1,1,0,0,0,0,4,Moderately stable,0.6798026210725565,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.0027702098851299034,0.02345720983894449,0.002770196291070478,0.023460669258447222
21,HF1785,39520,13988,328,187,11,Not significant,Not significant,5.469724419532955,1,4.983533649864121,1.540694933963445,0.9993909362392471,1,1,1,1,0,0,0,0,4,Moderately stable,0.675157578372606,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.0010966475544600279,0.0023892712846828507,0.0010966568926119753,0.002386927296559217
22,HF2353,10906,11399,1041,216,4,Not significant,Not significant,7.874321037807283,1,7.629697449008132,1.5979798499024014,0.9999990996280486,1,1,1,1,0,0,0,0,4,Moderately stable,0.674484670042386,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.011735411747939305,0.09936975517334602,0.01173535652276437,0.0993850687647357
23,HF1032,51046,11617,551,20,9,Not significant,Not significant,5.707265901065735,1,4.476851908850676,1.4870045432514756,0.9986965590936618,1,1,1,1,0,0,0,0,4,Moderately stable,0.6737084577360009,Bayesian-only shared hotspot,Bayesian-only shared hotspot,5.459147802231699e-4,0.0024025385073332354,5.459089218791468e-4,0.002401278839908522
24,HF1965,65633,7301,802,349,16,Not significant,Not significant,5.800646963717627,1,5.172091195477386,1.56410783005098,0.9995280504725221,1,1,1,1,0,0,0,0,4,Moderately stable,0.6726597192191339,Bayesian-only shared hotspot,Bayesian-only shared hotspot,2.0754631773680198e-4,0.0021139653228703535,2.0754210425775685e-4,0.0021142598080000456
25,HF0216,37804,3525,2191,0,0,Not significant,Not significant,7.299369985218605,1,5.6782047367307555,1.4824474585482035,0.9999360040233733,1,1,1,1,0,0,0,0,4,Moderately stable,0.671255681477194,Bayesian-only shared hotspot,Bayesian-only shared hotspot,3.021107059456117e-4,0.017398856852970022,3.020608403895263e-4,0.017402014878737805
26,HF2801,15455,16513,179,22,8,Not significant,Not significant,5.837841793902927,1,5.773919540087328,1.4907650109248278,0.99994627570423,1,1,1,1,0,0,0,0,4,Moderately stable,0.6703716022847512,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.0084649897346141,0.008554300806115732,0.008465145438572026,0.008532626670232064
27,HF1609,12997,11399,1041,216,3,Not significant,Not significant,7.697621098262964,1,6.634903553848207,1.540300934894615,0.9999917458825301,1,1,1,1,0,0,0,0,4,Moderately stable,0.6691201909124855,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.00826310114422115,0.06996798280670208,0.00826295699156908,0.06996548787868538
28,HF1698,44836,7489,1167,419,61,Not significant,Not significant,6.5467385958696065,1,5.480015342715596,1.5622572487301924,0.9997740473077104,1,1,1,1,0,0,0,0,4,Moderately stable,0.668773623879182,Bayesian-only shared hotspot,Bayesian-only shared hotspot,4.561975183227309e-4,0.006590010609081365,4.561806392411347e-4,0.006590676359517475
29,HF2806,16826,9429,1200,268,16,Not significant,Not significant,7.568182838654183,1,7.112381782519801,1.5529131569203911,0.9999976754032476,1,1,1,1,0,0,0,0,4,Moderately stable,0.6685014475933693,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.004078265247230705,0.0481173317093408,0.004078204678614312,0.04812578735571917
30,HF2927,103509,5434,387,102,22,Not significant,Not significant,4.623224415887251,1,3.4910677433269672,1.492080122688273,0.9903512113575157,1,1,1,1,0,0,0,0,4,Moderately stable,0.6666289358484668,Bayesian-only shared hotspot,Bayesian-only shared hotspot,6.210710869045703e-5,4.1043258718684186e-4,6.210528784822335e-5,4.1028430476958095e-4
31,HF0680,49954,2040,2021,12,5,Not significant,Not significant,6.919653340441242,1,4.9177116915246835,1.4605910897807246,0.999619953625159,1,1,1,1,0,0,0,0,4,Moderately stable,0.6616027669557021,Bayesian-only shared hotspot,Bayesian-only shared hotspot,1.0016256793308302e-4,0.00919059799142125,1.0012730684642746e-4,0.009192630968442046
32,HF0204,25095,11550,601,6,12,Not significant,Not significant,6.506164620915639,1,5.700223377037303,1.4427695372492737,0.9999610694058968,1,1,1,1,0,0,0,0,4,Moderately stable,0.6601229532646733,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.0022457587775633714,0.0108412409200553,0.002245746450921763,0.010838258437067436
33,HF2445,107529,334,724,3,2,Not significant,Not significant,5.086082286529721,1,3.266163506502799,1.5338371811843803,0.9833896957497275,1,1,1,1,0,0,0,0,4,Moderately stable,0.6439037777488198,Bayesian-only shared hotspot,Bayesian-only shared hotspot,3.553227160996125e-6,7.100869489506842e-4,3.544661467318101e-6,7.108040638315959e-4
34,HF1276,20124,6090,864,39,11,Not significant,Not significant,7.053929632003019,1,7.053694220028163,1.4925480276588774,0.9999988547403779,1,1,1,1,0,0,0,0,4,Moderately stable,0.6382808887956644,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.001841529444816489,0.02422052978813331,0.0018415060248278107,0.02423050368421132
35,HF0506,17879,4672,434,60,1,High-High,High-High,6.497122510775822,1,6.274105659814789,1.5411205904207206,0.999976607406385,1,1,1,1,1,1,1,1,10,Highly stable,0.6370893047831985,Robust shared hotspot,Robust shared hotspot,0.0017898153266413272,0.015421871584187929,0.001789794794006134,0.015427772669501839
36,HF2891,53557,5434,387,102,22,Not significant,Not significant,5.288708657401225,1,5.037554756779104,1.5489183028705533,0.9994276344552963,1,1,1,1,0,0,0,0,4,Moderately stable,0.6345573746540666,Bayesian-only shared hotspot,Bayesian-only shared hotspot,2.319878263805209e-4,0.0015331193084494833,2.3198719710141688e-4,0.0015334044514261778
37,HF0281,94308,1030,383,6,4,Not significant,Not significant,4.645325272358337,1,3.576143448211773,1.4480509255186156,0.993237271139012,1,1,1,1,0,0,0,0,4,Moderately stable,0.6306946489129863,Bayesian-only shared hotspot,Bayesian-only shared hotspot,1.4193559723026469e-5,4.88685550498116e-4,1.4187954338376416e-5,4.89154866861478e-4
38,HF1113,54227,3938,556,51,5,Not significant,Not significant,5.613341319440278,1,4.785121285461132,1.5204856380588616,0.9991755089562521,1,1,1,1,0,0,0,0,4,Moderately stable,0.6289666765472237,Bayesian-only shared hotspot,Bayesian-only shared hotspot,1.6400614563170712e-4,0.0021469045685462763,1.639969190615037e-4,0.00214747950161459
39,HF3109,26630,4401,661,33,6,Not significant,Not significant,6.500355576291154,1,5.985483293863428,1.5187124250722666,0.9999594551461451,1,1,1,1,0,0,0,0,4,Moderately stable,0.6187792650996623,Bayesian-only shared hotspot,Bayesian-only shared hotspot,7.600094106667256e-4,0.0105822598588466,7.599791582032411e-4,0.010586164513767518
40,HF2145,44637,2628,711,18,12,Not significant,Not significant,6.032401804851743,1,5.044705592020446,1.549922908822335,0.9994326600537132,1,1,1,1,0,0,0,0,4,Moderately stable,0.6185038165805852,Bayesian-only shared hotspot,Bayesian-only shared hotspot,1.6155547432323704e-4,0.004050312070130529,1.6153399691592983e-4,0.004052030800402003
41,HF0718,14181,9051,173,15,6,Not significant,Not significant,5.867289088347034,1,5.455269008407729,1.5321883202613074,0.999814885084816,1,1,1,1,0,0,0,0,4,Moderately stable,0.6177115115963793,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.0055109524170326805,0.009811369759289038,0.005511049538643226,0.009790384966940222
42,HF0282,46581,1861,724,31,3,Not significant,Not significant,5.993505660104849,1,4.915050985424771,1.4530328947462885,0.9996410040589478,1,1,1,1,0,0,0,0,4,Moderately stable,0.614838201952407,Bayesian-only shared hotspot,Bayesian-only shared hotspot,1.0507544777755586e-4,0.0037866894920586948,1.0505196707820263e-4,0.0037887080030735744
43,HF1421,18583,3771,155,22,4,High-High,High-High,5.456661773975618,1,5.167701484983531,1.4894077111166575,0.9997394171942392,1,1,1,1,1,1,1,1,10,Highly stable,0.614499090914301,Robust shared hotspot,Robust shared hotspot,0.0013372068384577772,0.005114913385744125,0.0013372258253361293,0.005111402512822581
44,HF0465,25852,7898,65,57,0,Not significant,Not significant,4.319183297214475,0.9999999999999896,4.9079472154586545,1.5633304062289337,0.9991535803327819,1,1,1,1,0,0,0,0,4,Moderately stable,0.6132612878859398,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.0014469653750080688,0.0011232517592810758,0.0014470501974999822,0.001116715258180151
45,HF0975,8327,7821,192,17,5,Not significant,Not significant,6.497356620993227,1,6.142325029211957,1.5828785493166833,0.9999478742639618,1,1,1,1,0,0,0,0,4,Moderately stable,0.6099092144582954,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.013811270423979886,0.031550363727266724,0.013811499394037278,0.03150486728775553
46,HF1970,48979,1847,556,44,6,Not significant,Not significant,5.687352839936738,1,4.698035504272959,1.5468957195116684,0.9988055627451056,1,1,1,1,0,0,0,0,4,Moderately stable,0.6096004070299519,Bayesian-only shared hotspot,Bayesian-only shared hotspot,9.43196196679261e-5,0.0026305177804580317,9.430100969752533e-5,0.0026320895800227536
47,HF0118,35945,2628,711,18,12,Not significant,Not significant,6.249937381457202,1,4.86315923745896,1.4371675212976238,0.9996426147213245,1,1,1,1,0,0,0,0,4,Moderately stable,0.6091308802487208,Bayesian-only shared hotspot,Bayesian-only shared hotspot,2.491349906377625e-4,0.006245926062133401,2.4909572978152776e-4,0.00624765017569674
48,HF3034,23176,2628,711,18,12,Not significant,Not significant,6.6912954770020585,1,6.388949554160315,1.497640966828605,0.9999900499536192,1,1,1,1,0,0,0,0,4,Moderately stable,0.6085528679124264,Bayesian-only shared hotspot,Bayesian-only shared hotspot,5.992869574108139e-4,0.015024180115304799,5.992348623619756e-4,0.015034209193158106
49,HF0002,20563,2943,720,12,5,Not significant,Not significant,6.828271626851587,1,6.240170521435839,1.5230291619330707,0.999979092035941,1,1,1,1,0,0,0,0,4,Moderately stable,0.6073748181162476,Bayesian-only shared hotspot,Bayesian-only shared hotspot,8.524789159827249e-4,0.01932750607452939,8.524030542578268e-4,0.019337411487402936
50,HF2099,7239,5434,387,102,22,Not significant,Not significant,7.300904793636814,1,7.137646084770914,1.5944285551710653,0.9999962082453885,1,1,1,1,0,0,0,0,4,Moderately stable,0.6069693524998343,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.012698157436066745,0.08390639385205438,0.01269815471635689,0.08392839621960727
51,HF1617,54737,810,579,100,11,Not significant,Not significant,5.583948654700359,1,4.440673358278312,1.5516859562822558,0.9978940373031532,1,1,1,1,0,0,0,0,4,Moderately stable,0.6067216663610362,Bayesian-only shared hotspot,Bayesian-only shared hotspot,3.31510439249438e-5,0.002192329641421395,3.312944261133567e-5,0.002194452444980388
52,HF0362,28783,6308,148,31,5,Not significant,Not significant,4.991053324238935,1,4.608081005477177,1.5226879861505873,0.9987620875859216,1,1,1,1,0,0,0,0,4,Moderately stable,0.6059538214830055,Bayesian-only shared hotspot,Bayesian-only shared hotspot,9.323272658153897e-4,0.002038534515026124,9.323469970058183e-4,0.002034337880895989
53,HF1769,3752,3938,556,51,5,Not significant,Not significant,8.299438351550666,1,7.900338303926177,1.6004303895299254,0.9999996020774703,1,1,1,1,0,0,0,0,4,Moderately stable,0.605051378435956,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.03425831327292346,0.44840455946652996,0.034257033007307314,0.44861285469009554
54,HF1015,71146,1665,206,30,9,Not significant,Not significant,4.345842920648948,0.9999999999999991,3.4819865058949415,1.5476409248832559,0.9877713106969731,1,1,1,1,0,0,0,0,4,Moderately stable,0.6048430325108489,Bayesian-only shared hotspot,Bayesian-only shared hotspot,4.0291843349319874e-5,4.625312982618772e-4,4.0286845364321303e-05,4.6275510638446235e-4
55,HF0008,20547,8130,26,0,1,Not significant,Not significant,3.6921166696193364,0.9999999997520923,4.31078801057761,1.5071014643034955,0.9978839116622791,1,1,1,1,0,0,0,0,4,Moderately stable,0.6037199837891507,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.002357804337177846,7.38277967820184e-4,0.0023579793610492825,7.204870235998399e-4
56,HF2836,13918,6342,142,13,6,Not significant,Not significant,5.683463707021136,1,6.123446020715148,1.601029248915087,0.9999345325388269,1,1,1,1,0,0,0,0,4,Moderately stable,0.6036582925509405,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.00400885574734191,0.00836743626252762,0.004009038221590221,0.008359652102942127
57,HF1934,21637,2482,737,32,12,Not significant,Not significant,6.792724187046809,1,5.807634234378368,1.5817358919127245,0.9998795212086218,1,1,1,1,0,0,0,0,4,Moderately stable,0.602698425574774,Bayesian-only shared hotspot,Bayesian-only shared hotspot,6.493932488109107e-4,0.017867014693452307,6.49298284572653e-4,0.017875155485876815
58,HF0007,9446,2628,711,18,12,Not significant,Not significant,7.593941462526852,1,6.90714422599927,1.5290134417114059,0.9999968696172667,1,1,1,1,0,0,0,0,4,Moderately stable,0.5995513578472139,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.0036075809778366675,0.09043966700670124,0.003607177076659571,0.0904875532042224
59,HF0298,25610,4109,71,9,0,Not significant,High-High,4.385742745721343,0.999999999999998,4.400563162745093,1.4750378067758811,0.998574470055055,1,1,1,1,0,1,0,1,7,Highly stable,0.5994758516195585,Bayesian-only shared hotspot,Robust shared hotspot,7.671123480665422e-4,0.0012444069608218442,7.671582861345869e-4,0.0012392204552249808
60,HF2376,20273,1861,724,4,4,Not significant,Not significant,6.829610982505796,1,6.017660660220691,1.5874347393885777,0.9999249210668942,1,1,1,1,0,0,0,0,4,Moderately stable,0.5984917022068669,Bayesian-only shared hotspot,Bayesian-only shared hotspot,5.547317402678086e-4,0.019990650902196656,5.546206766639207e-4,0.020003425850876763
61,HF0715,11149,2628,711,18,12,Not significant,Not significant,7.426064009523273,1,6.333203879762849,1.5543742846018347,0.9999769373424955,1,1,1,1,0,0,0,0,4,Moderately stable,0.5969143214985618,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.0025896438450742285,0.06492005312790515,0.002589286565954514,0.06494571771187431
62,HF0252,28974,3771,273,10,10,Not significant,Not significant,5.555392612278282,1,4.7425406838483,1.434951714380615,0.9995251478349017,1,1,1,1,0,0,0,0,4,Moderately stable,0.594856250194676,Bayesian-only shared hotspot,Bayesian-only shared hotspot,5.500903171102805e-4,0.003696861685445342,5.500736022073732e-4,0.0036959268519915186
63,HF3141,439,1447,424,35,2,Not significant,Not significant,10.155398526202458,1,9.544625710804423,1.5743394621523548,0.999999999330401,1,1,1,1,0,0,0,0,4,Moderately stable,0.5934099357572366,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.9199241423482653,24.96334763186414,0.9197335479244174,24.98958811605423
64,HF2278,12616,1861,724,3,9,Not significant,Not significant,7.307035514735875,1,6.201171683066506,1.5741021983877561,0.9999591737743883,1,1,1,1,0,0,0,0,4,Moderately stable,0.5927069322847387,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.0014324380953099317,0.051619654360143555,0.0014321099217832669,0.05164747228976271
65,HF0022,26312,3772,199,19,4,Not significant,Not significant,5.346468871775357,1,4.440115550349678,1.4598367909919503,0.9988230459590901,1,1,1,1,0,0,0,0,4,Moderately stable,0.5874885231846403,Bayesian-only shared hotspot,Bayesian-only shared hotspot,6.671856673165936e-4,0.0032711830225894646,6.671710528878897e-4,0.0032681228669214422
66,HF2594,9482,4306,137,101,5,Not significant,Not significant,6.017311607369375,1,6.320291632291987,1.5904976306705263,0.9999646299155117,1,1,1,1,0,0,0,0,4,Moderately stable,0.5874739295379862,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.005864564185608768,0.01737965878802649,0.0058648453749347565,0.017375201830929648
67,HF3171,27126,3398,101,33,4,Not significant,Not significant,4.657927863303647,1,4.823145672107548,1.5369885995479744,0.9991496180407057,1,1,1,1,0,0,0,0,4,Moderately stable,0.5855220501684218,Bayesian-only shared hotspot,Bayesian-only shared hotspot,5.654779698798535e-4,0.0015691809903977038,5.655089855600291e-4,0.0015678367090103786
68,HF0550,29277,2697,226,84,7,Not significant,Not significant,5.347913265670134,1,4.360054325131891,1.479126037372486,0.9983993828501562,1,1,1,1,0,0,0,0,4,Moderately stable,0.583359335150594,Bayesian-only shared hotspot,Bayesian-only shared hotspot,3.8534543480857987e-4,0.0029976600619417665,3.853221136167184e-4,0.002996809196364184
69,HF1250,38980,3224,54,0,0,Not significant,Not significant,3.690953683345791,0.9999999999707895,3.668588738347273,1.519320114014109,0.9921242972045101,1,1,1,1,0,0,0,0,4,Moderately stable,0.5829604806086865,Bayesian-only shared hotspot,Bayesian-only shared hotspot,2.598075974510019e-4,4.10321488328029e-4,2.598272002484209e-4,4.079848567803307e-4
70,HF0093,10903,2290,369,30,7,Not significant,Not significant,6.809453129606814,1,6.176240398405231,1.541439083169429,0.9999692267243,1,1,1,1,0,0,0,0,4,Moderately stable,0.5821250935100564,Bayesian-only shared hotspot,Bayesian-only shared hotspot,0.002359499377874622,0.03524567204131942,0.0023592842694496823,0.035268196734548285
71,HF2009,44937,1801,50,82,0,Not significant,Not significant,3.4498741375517588,0.9999999995372244,3.8460938799018964,1.4398912961718886,0.9962198458710573,1,1,1,1,0,0,0,0,4,Moderately stable,0.5818047581117256,Bayesian-only shared hotspot,Bayesian-only shared hotspot,1.0921519462904772e-4,2.8543590242616906e-4,1.0922981148886137e-4,2.850744839861689e-4
