residual_priority_rank,catchment_id,facility_name,facility_class,ownership_class,region,catchment_population,malaria_cases,scd_cases,shared_mean_adj,shared_sd_adj,shared_ci_width_adj,exceed_prob_rr_gt1_adj,threshold_distance_080,stability_score,stability_class,residual_hotspot_confidence
41,HF1354,Kapchorwa HOSPITAL,General hospital,Government,BUGISU_SEBEI,26873,3324,39,6.559846572966715,3.4501310967129486,13.55184339628972,0.9713707662407146,0.17137076624071457,4,Moderately stable,Uncertain candidate hotspot
43,HF1015,Bududa HOSPITAL,General hospital,Government,BUGISU_SEBEI,71146,1665,206,6.900577756581995,3.480236624429547,13.672999404584072,0.9763045443028838,0.17630454430288378,4,Moderately stable,Uncertain candidate hotspot
50,HF1856,Patongo HC III,HC IV,Government,ACHOLI,13211,0,0,4.645020245011209,1.2567020304661893,4.933286857542052,0.9998905740874378,0.1998905740874377,0,Unstable / weak evidence,Uncertain candidate hotspot
53,HF1999,Rhino Camp HC IV,HC IV,Government,WEST NILE,16857,0,0,2.200659397106216,0.81976278930083,3.2567092611209416,0.9963681628644095,0.1963681628644095,0,Unstable / weak evidence,Uncertain candidate hotspot
54,HF1532,Cure Children's Hospital,General hospital,PNFP,BUGISU_SEBEI,23806,760,5,4.578507916673164,3.4138497801555667,13.413630033410442,0.9100652288327564,0.11006522883275638,4,Moderately stable,Uncertain candidate hotspot
63,HF1726,Mulanda HC IV,HC IV,Government,BUKEDI,10796,0,0,4.274539830849896,2.697137738580602,10.602276681295443,0.9434989936368137,0.14349899363681362,0,Unstable / weak evidence,Uncertain candidate hotspot
64,HF1734,Nagongera HC IV,HC IV,Government,BUKEDI,26861,0,0,4.063003922026077,2.6223505917014784,10.305719663028764,0.9393541759400581,0.13935417594005806,0,Unstable / weak evidence,Uncertain candidate hotspot
65,HF0998,Budaka HC IV,HC IV,Government,BUKEDI,41002,0,0,4.254527579510947,2.7747358143048686,10.90086994856768,0.9374001390414487,0.13740013904144865,0,Unstable / weak evidence,Uncertain candidate hotspot
67,HF1583,Nsinze HC IV,HC IV,Government,BUSOGA,52652,0,0,3.4266366687963727,2.4426793732004137,9.597809154907372,0.9196645677380776,0.11966456773807754,0,Unstable / weak evidence,Uncertain candidate hotspot
71,HF2205,Ayira Health Services,HC IV,PFP,LANGO,28991,180,0,1.923979893565935,1.5949182215003523,6.262892118496073,0.8861527113216694,0.08615271132166935,0,Unstable / weak evidence,Uncertain candidate hotspot
72,HF1647,Budadiri HC IV,HC IV,Government,BUGISU_SEBEI,35229,0,0,5.1890099029663235,3.696553151730309,14.531858438918572,0.9198022750224714,0.11980227502247132,0,Unstable / weak evidence,Uncertain candidate hotspot
74,HF1722,Mukuju HC IV,HC IV,Government,BUKEDI,20993,0,0,3.512622456327941,2.7158268378738266,10.674739989578137,0.9020618444788883,0.10206184447888822,0,Unstable / weak evidence,Uncertain candidate hotspot
75,HF1492,Bubulo HC IV,HC IV,Government,BUGISU_SEBEI,28252,0,0,4.989315542690683,3.7253901669402,14.644786701540081,0.9097591395070759,0.10975913950707583,0,Unstable / weak evidence,Uncertain candidate hotspot
80,HF1483,Bugobero HC IV,HC IV,Government,BUGISU_SEBEI,35867,0,0,6.11440798611304,4.456445783800828,17.51598331678146,0.9149740219998028,0.11497402199980278,0,Unstable / weak evidence,Uncertain candidate hotspot
81,HF1165,Busesa HC IV,HC IV,Government,BUSOGA,28965,0,0,3.450964736973158,2.82825243804454,11.115361636615443,0.8888008509018551,0.08880085090185508,0,Unstable / weak evidence,Uncertain candidate hotspot
82,HF1533,Namatala HC IV,HC IV,Government,BUGISU_SEBEI,56800,0,0,3.869000280763859,3.110011376121451,12.225387561642949,0.8932588647946026,0.09325886479460255,0,Unstable / weak evidence,Uncertain candidate hotspot
83,HF1547,Buyinja  HC IV,HC IV,Government,BUSOGA,63519,0,0,3.0110940824273906,2.539067623565757,9.978027599856,0.8821701757605593,0.0821701757605593,0,Unstable / weak evidence,Uncertain candidate hotspot
84,HF1524,Bufumbo HC IV,HC IV,Government,BUGISU_SEBEI,29019,0,0,4.708280040134317,3.6641983757651047,14.4052415037734,0.900593611620731,0.100593611620731,0,Unstable / weak evidence,Uncertain candidate hotspot
86,HF1530,Busiu HC IV,HC IV,Government,BUGISU_SEBEI,29079,0,0,3.7185691496569584,3.1695502479471633,12.461013934353346,0.8796455332380485,0.07964553323804846,0,Unstable / weak evidence,Uncertain candidate hotspot
88,HF1092,Muyembe HC IV,HC IV,Government,BUGISU_SEBEI,45814,0,0,4.493996493616409,3.7085296685751343,14.581340330723668,0.8872055382901222,0.08720553829012212,0,Unstable / weak evidence,Uncertain candidate hotspot
89,HF1667,Buwasa HC IV,HC IV,Government,BUGISU_SEBEI,25438,0,0,3.906720357726192,3.422175821007333,13.454380973652281,0.8731876774072798,0.07318767740727972,0,Unstable / weak evidence,Uncertain candidate hotspot
91,HF1600,Butebo HC IV,HC IV,Government,BUKEDI,44898,0,0,2.719437670400943,2.6062339370303422,10.245979854658088,0.8516267390091676,0.05162673900916759,0,Unstable / weak evidence,Uncertain candidate hotspot
93,HF1405,Kibuku HC IV,HC IV,Government,BUKEDI,32289,0,0,3.552261443933728,3.239297491468344,12.731498645925662,0.8635950839383199,0.06359508393831981,0,Unstable / weak evidence,Uncertain candidate hotspot
94,HF1438,Kaproron HC IV,HC IV,Government,BUGISU_SEBEI,2355,0,0,7.39491979743595,5.747835146010866,22.594510450144696,0.9008756986956638,0.10087569869566371,0,Unstable / weak evidence,Uncertain candidate hotspot
95,HF1322,Nankandulo HC IV,HC IV,Government,BUSOGA,35682,0,0,2.801877619937744,2.7742148567728675,10.906703078618262,0.8437455000175447,0.043745500017544625,0,Unstable / weak evidence,Uncertain candidate hotspot
96,HF1515,Kigandalo HC IV,HC IV,Government,BUSOGA,40545,0,0,2.7798038804881355,2.769915700233498,10.88829889193002,0.8422070031580386,0.0422070031580386,0,Unstable / weak evidence,Uncertain candidate hotspot
97,HF1063,Nankoma HC IV,HC IV,Government,BUSOGA,42335,0,0,2.9442395015052436,2.920331163147705,11.477300503295883,0.843317617268847,0.043317617268846975,0,Unstable / weak evidence,Uncertain candidate hotspot
100,HF2843,Kanungu HC IV,HC IV,Government,KIGEZI,27369,0,0,3.4606761571264384,3.6484265120829926,14.34540386362317,0.8285725280034663,0.028572528003466213,0,Unstable / weak evidence,Uncertain candidate hotspot
101,HF1180,Bugono HC IV,HC IV,Government,BUSOGA,21313,0,0,3.14399668935493,3.4244172292345865,13.45579390139539,0.8207197411607765,0.02071974116077646,0,Unstable / weak evidence,Uncertain candidate hotspot
